Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDM60,10.800000190734863,Regular,0.04833940789103508,Baking Goods,41.51380157470703,OUT018,2009,Medium,Tier 3,Supermarket Type2,446.7518005371094
FDM60,10.800000190734863,Regular,0.04821814224123955,Baking Goods,42.21379852294922,OUT049,1999,Medium,Tier1,Supermarket Type1,690.4345703125
FDR36,6.715000152587891,Regular,0.12177541106939316,Baking Goods,43.0453987121582,OUT049,1999,Medium,Tier1,Supermarket Type1,303.5023498535156
FDO60,20.0,Low Fat,0.05752754583954811,Baking Goods,43.10860061645508,OUT010,1998,Medium,Tier 3,Grocery Store,89.21720123291016
FDO60,20.0,Low Fat,0.034203093498945236,Baking Goods,43.30860137939453,OUT027,1985,Medium,Tier 3,Supermarket Type3,624.5203857421875
FDO60,20.0,Low Fat,0.0,Baking Goods,43.408599853515625,OUT018,2009,Medium,Tier 3,Supermarket Type2,401.4773864746094
FDO60,20.0,Low Fat,0.0343630276620388,Baking Goods,43.50859832763672,OUT035,2004,Small,Tier 2,Supermarket Type1,401.4773864746094
FDR36,6.715000152587891,Regular,0.1218329593539238,Baking Goods,43.5453987121582,OUT045,2002,Small,Tier 2,Supermarket Type1,838.9080200195312
FDR36,6.715000152587891,Regular,0.1209975853562355,Baking Goods,43.64540100097656,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.7129821777344
FDK24,9.194999694824219,Low Fat,0.0,Baking Goods,43.674400329589844,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.4696044921875
FDO60,20.0,Low Fat,0.03436952829360962,Baking Goods,43.70859909057617,OUT046,1997,Small,Tier1,Supermarket Type1,892.1719970703125
FDR36,6.715000152587891,Regular,0.1215633824467659,Baking Goods,43.745399475097656,OUT035,2004,Small,Tier 2,Supermarket Type1,545.2902221679688
FDR36,6.715000152587891,Regular,0.12208166718482971,Baking Goods,43.845401763916016,OUT018,2009,Medium,Tier 3,Supermarket Type2,320.9198303222656
FDO60,20.0,Low Fat,0.03442296385765076,Baking Goods,44.408599853515625,OUT049,1999,Medium,Tier1,Supermarket Type1,976.9891967773438
FDK24,9.194999694824219,Low Fat,0.10121064633131027,Baking Goods,44.47439956665039,OUT013,1987,High,Tier 3,Supermarket Type1,433.4786376953125
FDO60,20.0,Low Fat,0.03443922847509384,Baking Goods,45.10860061645508,OUT045,2002,Small,Tier 2,Supermarket Type1,965.3240356445312
FDK24,9.194999694824219,Low Fat,0.10150037705898285,Baking Goods,45.27439880371094,OUT045,2002,Small,Tier 2,Supermarket Type1,679.1160278320312
FDO60,20.0,LF,0.03456393629312515,Baking Goods,45.30860137939453,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.6946105957031
FDO60,20.0,Low Fat,0.03434092551469803,Baking Goods,45.408599853515625,OUT013,1987,High,Tier 3,Supermarket Type1,981.3892211914062
FDK24,20.0,Low Fat,0.1008044183254242,Baking Goods,45.47439956665039,OUT027,1985,Medium,Tier 3,Supermarket Type3,1041.3111572265625
FDK24,9.194999694824219,Low Fat,0.0,Baking Goods,45.674400329589844,OUT049,1999,Medium,Tier1,Supermarket Type1,445.1746826171875
FDK24,9.194999694824219,Low Fat,0.10129494220018387,Baking Goods,46.27439880371094,OUT046,1997,Small,Tier1,Supermarket Type1,1086.5855712890625
FDK24,9.194999694824219,Low Fat,0.1018679141998291,Baking Goods,46.47439956665039,OUT017,2007,Medium,Tier 2,Supermarket Type1,461.5186767578125
FDK24,9.194999694824219,Low Fat,0.10127579420804977,Baking Goods,46.47439956665039,OUT035,2004,Small,Tier 2,Supermarket Type1,950.7623901367188
FDK24,20.0,Low Fat,0.1773543655872345,Baking Goods,46.674400329589844,OUT019,1985,Small,Tier1,Grocery Store,135.8231964111328
FDL48,20.0,Regular,0.08186803758144379,Baking Goods,46.80339813232422,OUT027,1985,Medium,Tier 3,Supermarket Type3,1069.2747802734375
FDL48,19.350000381469727,Regular,0.13769711554050446,Baking Goods,47.10340118408203,OUT010,1998,Medium,Tier 3,Grocery Store,145.81019592285156
FDK36,20.0,Low Fat,0.00718037411570549,Baking Goods,47.40340042114258,OUT027,1985,Medium,Tier 3,Supermarket Type3,631.8441772460938
FDW24,6.800000190734863,Low Fat,0.03746584430336952,Baking Goods,47.50339889526367,OUT013,1987,High,Tier 3,Supermarket Type1,534.6373901367188
FDK36,7.090000152587891,Low Fat,0.007215314079076052,Baking Goods,47.60340118408203,OUT046,1997,Small,Tier1,Supermarket Type1,1458.10205078125
FDK36,7.090000152587891,Low Fat,0.007213950157165527,Baking Goods,47.90340042114258,OUT035,2004,Small,Tier 2,Supermarket Type1,583.2407836914062
FDK36,7.090000152587891,LF,0.007209309842437506,Baking Goods,48.10340118408203,OUT013,1987,High,Tier 3,Supermarket Type1,1069.2747802734375
FDK36,7.090000152587891,Low Fat,0.00722994701936841,Baking Goods,48.30339813232422,OUT045,2002,Small,Tier 2,Supermarket Type1,359.59466552734375
FDL48,19.350000381469727,Regular,0.0823943242430687,Baking Goods,48.50339889526367,OUT049,1999,Medium,Tier1,Supermarket Type1,243.01699829101562
FDP36,10.395000457763672,Regular,0.09117240458726883,Baking Goods,48.600799560546875,OUT046,1997,Small,Tier1,Supermarket Type1,545.6217651367188
FDW24,6.800000190734863,Low Fat,0.037489961832761765,Baking Goods,48.60340118408203,OUT035,2004,Small,Tier 2,Supermarket Type1,291.6203918457031
FDK36,7.090000152587891,Low Fat,0.012076957151293755,Baking Goods,48.60340118408203,OUT010,1998,Medium,Tier 3,Grocery Store,375.6119384765625
FDL48,19.350000381469727,Regular,0.08225086331367493,Baking Goods,48.703399658203125,OUT035,2004,Small,Tier 2,Supermarket Type1,534.6373901367188
FDL48,19.350000381469727,Regular,0.0822664201259613,Baking Goods,48.80339813232422,OUT046,1997,Small,Tier1,Supermarket Type1,340.2237854003906
FDW24,10.395000457763672,Low Fat,0.06565249711275101,Baking Goods,48.90340042114258,OUT019,1985,Small,Tier1,Grocery Store,48.60340118408203
FDP36,10.395000457763672,Regular,0.0916881114244461,Baking Goods,49.00080108642578,OUT017,2007,Medium,Tier 2,Supermarket Type1,860.213623046875
FDK36,7.090000152587891,Low Fat,0.0,Baking Goods,49.10340118408203,OUT018,2009,Medium,Tier 3,Supermarket Type2,365.5502624511719
FDY12,9.800000190734863,Regular,0.0,Baking Goods,49.200801849365234,OUT013,1987,High,Tier 3,Supermarket Type1,657.8104248046875
FDL48,19.350000381469727,Regular,0.08219795674085617,Baking Goods,49.203399658203125,OUT013,1987,High,Tier 3,Supermarket Type1,729.051025390625
FDL48,19.350000381469727,reg,0.08273175358772278,Baking Goods,49.203399658203125,OUT017,2007,Medium,Tier 2,Supermarket Type1,777.6544189453125
FDK36,7.090000152587891,Low Fat,0.007226531859487295,Baking Goods,49.30339813232422,OUT049,1999,Medium,Tier1,Supermarket Type1,381.0216064453125
FDW24,6.800000190734863,Low Fat,0.03764979541301727,Baking Goods,49.50339889526367,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.919189453125
FDP36,10.395000457763672,Regular,0.0,Baking Goods,49.600799560546875,OUT049,1999,Medium,Tier1,Supermarket Type1,546.5363159179688
FDW24,6.800000190734863,Low Fat,0.03755534812808037,Baking Goods,49.60340118408203,OUT049,1999,Medium,Tier1,Supermarket Type1,972.0679931640625
FDI48,11.850000381469727,Regular,0.055718399584293365,Baking Goods,49.66659927368164,OUT046,1997,Small,Tier1,Supermarket Type1,635.6331176757812
FDW24,6.800000190734863,Low Fat,0.03770914673805237,Baking Goods,49.703399658203125,OUT017,2007,Medium,Tier 2,Supermarket Type1,365.0217590332031
FDL48,19.350000381469727,Regular,0.08243325352668762,Baking Goods,49.703399658203125,OUT045,2002,Small,Tier 2,Supermarket Type1,1057.9368896484375
FDY12,9.800000190734863,Regular,0.14061103761196136,Baking Goods,49.80080032348633,OUT046,1997,Small,Tier1,Supermarket Type1,809.61279296875
FDW24,6.800000190734863,Low Fat,0.03749705106019974,Baking Goods,49.90340042114258,OUT046,1997,Small,Tier1,Supermarket Type1,194.41360473632812
FDY12,9.800000190734863,Regular,0.14140638709068298,Baking Goods,50.00080108642578,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.00799560546875
FDW24,10.395000457763672,low fat,0.03731546923518181,Baking Goods,50.00339889526367,OUT027,1985,Medium,Tier 3,Supermarket Type3,1992.7393798828125
FDP36,10.395000457763672,Regular,0.09135730564594269,Baking Goods,50.100799560546875,OUT045,2002,Small,Tier 2,Supermarket Type1,546.8377075195312
FDL48,19.350000381469727,Regular,0.08260153979063034,Baking Goods,50.10340118408203,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.0609130859375
FDY12,9.800000190734863,Regular,0.14089620113372803,Baking Goods,50.200801849365234,OUT045,2002,Small,Tier 2,Supermarket Type1,541.1646118164062
FDW24,6.800000190734863,Low Fat,0.03757309541106224,Baking Goods,50.203399658203125,OUT045,2002,Small,Tier 2,Supermarket Type1,1166.4815673828125
FDW24,6.800000190734863,Low Fat,0.06276237219572067,Baking Goods,50.40340042114258,OUT010,1998,Medium,Tier 3,Grocery Store,48.60340118408203
FDK36,7.090000152587891,Low Fat,0.0072561269626021385,Baking Goods,50.40340042114258,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.2237854003906
FDY12,9.800000190734863,Regular,0.14118382334709167,Baking Goods,50.50080108642578,OUT018,2009,Medium,Tier 3,Supermarket Type2,253.00399780273438
FDY12,10.395000457763672,reg,0.1399301290512085,Baking Goods,50.50080108642578,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.9001159667969
FDI48,11.850000381469727,Regular,0.05567203089594841,Baking Goods,50.56660079956055,OUT013,1987,High,Tier 3,Supermarket Type1,922.798828125
FDI48,11.850000381469727,Regular,0.05583139881491661,Baking Goods,50.56660079956055,OUT045,2002,Small,Tier 2,Supermarket Type1,635.1670532226562
FDY12,9.800000190734863,Regular,0.23535405099391937,Baking Goods,50.80080032348633,OUT010,1998,Medium,Tier 3,Grocery Store,101.20159912109375
FDI48,11.850000381469727,Regular,0.0,Baking Goods,51.2666015625,OUT035,2004,Small,Tier 2,Supermarket Type1,410.1328125
FDP36,10.395000457763672,Regular,0.0,Baking Goods,51.40079879760742,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088256835938
FDI48,11.850000381469727,Regular,0.05603356659412384,Baking Goods,51.46659851074219,OUT017,2007,Medium,Tier 2,Supermarket Type1,974.0654296875
FDP36,11.850000381469727,Regular,0.0,Baking Goods,51.90079879760742,OUT027,1985,Medium,Tier 3,Supermarket Type3,2595.0400390625
FDP36,10.395000457763672,Regular,0.09115516394376755,Baking Goods,52.200801849365234,OUT035,2004,Small,Tier 2,Supermarket Type1,569.7586669921875
FDY24,4.880000114440918,Regular,0.2234402596950531,Baking Goods,52.229801177978516,OUT010,1998,Medium,Tier 3,Grocery Store,161.78939819335938
FDY12,9.800000190734863,Regular,0.14058445394039154,Baking Goods,52.30080032348633,OUT035,2004,Small,Tier 2,Supermarket Type1,538.1752319335938
FDP36,10.395000457763672,Regular,0.09109652787446976,Baking Goods,52.30080032348633,OUT013,1987,High,Tier 3,Supermarket Type1,2226.435302734375
FDI48,11.850000381469727,Regular,0.05544858053326607,Baking Goods,52.366600036621094,OUT027,1985,Medium,Tier 3,Supermarket Type3,944.4173583984375
FDY24,11.850000381469727,Regular,0.23372937738895416,Baking Goods,52.4297981262207,OUT019,1985,Small,Tier1,Grocery Store,224.3184051513672
FDY12,9.800000190734863,Regular,0.1408296525478363,Baking Goods,52.50080108642578,OUT049,1999,Medium,Tier1,Supermarket Type1,565.9586181640625
FDI48,9.800000190734863,Regular,0.0975557267665863,Baking Goods,52.7666015625,OUT019,1985,Small,Tier1,Grocery Store,540.8867797851562
FDN24,14.100000381469727,Low Fat,0.11324600875377655,Baking Goods,52.79560089111328,OUT035,2004,Small,Tier 2,Supermarket Type1,811.4155883789062
FDY24,4.880000114440918,Regular,0.13370075821876526,Baking Goods,52.9297981262207,OUT049,1999,Medium,Tier1,Supermarket Type1,1995.402587890625
FDN24,14.100000381469727,LF,0.11317317187786102,Baking Goods,52.995601654052734,OUT013,1987,High,Tier 3,Supermarket Type1,821.9617309570312
FDI48,11.850000381469727,Regular,0.0558050274848938,Baking Goods,53.06660079956055,OUT049,1999,Medium,Tier1,Supermarket Type1,512.666015625
FDN24,14.100000381469727,Low Fat,0.1134435310959816,Baking Goods,53.09560012817383,OUT049,1999,Medium,Tier1,Supermarket Type1,816.0263061523438
FDY24,4.880000114440918,Regular,0.0,Baking Goods,53.129798889160156,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947021484375
FDI48,11.850000381469727,Regular,0.055945370346307755,Baking Goods,53.2666015625,OUT018,2009,Medium,Tier 3,Supermarket Type2,669.081787109375
FDY24,4.880000114440918,Regular,0.13403700292110443,Baking Goods,53.32979965209961,OUT018,2009,Medium,Tier 3,Supermarket Type2,539.2979736328125
FDY24,4.880000114440918,Regular,0.13349319994449615,Baking Goods,53.32979965209961,OUT046,1997,Small,Tier1,Supermarket Type1,281.0693664550781
FDN24,14.100000381469727,low fat,0.11390811949968338,Baking Goods,53.395599365234375,OUT017,2007,Medium,Tier 2,Supermarket Type1,982.7208251953125
FDN24,14.100000381469727,Low Fat,0.1137288361787796,Baking Goods,53.79560089111328,OUT018,2009,Medium,Tier 3,Supermarket Type2,826.7845458984375
FDY24,4.880000114440918,Regular,0.0,Baking Goods,54.129798889160156,OUT045,2002,Small,Tier 2,Supermarket Type1,280.00262451171875
FDN24,4.880000114440918,LF,0.11271892488002777,Baking Goods,54.29560089111328,OUT027,1985,Medium,Tier 3,Supermarket Type3,1310.29443359375
FDN24,4.880000114440918,Low Fat,0.19831664860248566,Baking Goods,54.395599365234375,OUT019,1985,Small,Tier1,Grocery Store,272.9779968261719
FDN24,14.100000381469727,Low Fat,0.1132674291729927,Baking Goods,54.59560012817383,OUT046,1997,Small,Tier1,Supermarket Type1,1037.31640625
FDY24,4.880000114440918,Regular,0.1342483013868332,Baking Goods,54.9297981262207,OUT017,2007,Medium,Tier 2,Supermarket Type1,289.50201416015625
FDY24,4.880000114440918,Regular,0.13338211178779602,Baking Goods,55.02980041503906,OUT013,1987,High,Tier 3,Supermarket Type1,647.1575927734375
FDY24,4.880000114440918,Regular,0.13284675776958466,Baking Goods,55.82979965209961,OUT027,1985,Medium,Tier 3,Supermarket Type3,420.25714111328125
FDN24,14.100000381469727,Low Fat,0.11349713802337646,Baking Goods,56.19559860229492,OUT045,2002,Small,Tier 2,Supermarket Type1,1364.8900146484375
FDL12,15.850000381469727,Regular,0.12232072651386261,Baking Goods,58.02199935913086,OUT017,2007,Medium,Tier 2,Supermarket Type1,993.2205810546875
FDL12,15.850000381469727,Regular,0.12153150141239166,Baking Goods,59.22200012207031,OUT013,1987,High,Tier 3,Supermarket Type1,599.219970703125
FDL12,15.850000381469727,Regular,0.12104371190071106,Baking Goods,59.422000885009766,OUT027,1985,Medium,Tier 3,Supermarket Type3,1078.595947265625
FDL12,15.850000381469727,Regular,0.1221282035112381,Baking Goods,59.52199935913086,OUT018,2009,Medium,Tier 3,Supermarket Type2,1018.8975830078125
FDL12,15.850000381469727,Regular,0.21296319365501404,Baking Goods,59.52199935913086,OUT019,1985,Small,Tier1,Grocery Store,299.6099853515625
FDL12,15.850000381469727,Regular,0.12160972505807877,Baking Goods,60.22200012207031,OUT035,2004,Small,Tier 2,Supermarket Type1,539.2979736328125
FDL12,15.850000381469727,Regular,0.12163271754980087,Baking Goods,60.62200164794922,OUT046,1997,Small,Tier1,Supermarket Type1,2576.64599609375
FDL12,15.850000381469727,Regular,0.121821828186512,Baking Goods,60.72200012207031,OUT049,1999,Medium,Tier1,Supermarket Type1,1058.6881103515625
FDL12,15.850000381469727,Regular,0.12187939882278442,Baking Goods,61.22200012207031,OUT045,2002,Small,Tier 2,Supermarket Type1,1047.9981689453125
FDI60,7.21999979019165,Regular,0.06414186954498291,Baking Goods,61.250999450683594,OUT010,1998,Medium,Tier 3,Grocery Store,126.50199890136719
FDL12,15.850000381469727,Regular,0.20358823239803314,Baking Goods,61.62200164794922,OUT010,1998,Medium,Tier 3,Grocery Store,1045.078369140625
FDI60,7.21999979019165,Regular,0.03832121938467026,Baking Goods,61.85100173950195,OUT046,1997,Small,Tier1,Supermarket Type1,822.2630004882812
FDI60,7.21999979019165,Regular,0.03839893639087677,Baking Goods,61.95100021362305,OUT045,2002,Small,Tier 2,Supermarket Type1,1518.0240478515625
FDI60,7.21999979019165,Regular,0.03838080167770386,Baking Goods,62.35100173950195,OUT049,1999,Medium,Tier1,Supermarket Type1,885.5139770507812
FDI60,7.21999979019165,Regular,0.038135647773742676,Baking Goods,62.85100173950195,OUT027,1985,Medium,Tier 3,Supermarket Type3,1648.090576171875
FDI60,7.21999979019165,Regular,0.038477323949337006,Baking Goods,62.95100021362305,OUT018,2009,Medium,Tier 3,Supermarket Type2,1138.5179443359375
FDI60,7.21999979019165,Regular,0.03831397369503975,Baking Goods,63.95100021362305,OUT035,2004,Small,Tier 2,Supermarket Type1,507.8988342285156
FDY11,7.21999979019165,Regular,0.02941730245947838,Baking Goods,64.11419677734375,OUT027,1985,Medium,Tier 3,Supermarket Type3,2179.472412109375
FDI60,7.21999979019165,Regular,0.038289330899715424,Baking Goods,64.7509994506836,OUT013,1987,High,Tier 3,Supermarket Type1,126.50199890136719
FDI60,7.21999979019165,Regular,0.03853798285126686,Baking Goods,64.95099639892578,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.4619140625
FDY11,6.710000038146973,reg,0.029680868610739708,Baking Goods,65.01419830322266,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.8845825195312
FDY11,6.710000038146973,Regular,0.0296064093708992,Baking Goods,65.41419982910156,OUT049,1999,Medium,Tier1,Supermarket Type1,1516.026611328125
FDY11,6.710000038146973,Regular,0.029560450464487076,Baking Goods,65.81420135498047,OUT046,1997,Small,Tier1,Supermarket Type1,856.8845825195312
FDY11,6.710000038146973,Regular,0.029620399698615074,Baking Goods,66.11419677734375,OUT045,2002,Small,Tier 2,Supermarket Type1,487.9889221191406
FDY11,6.710000038146973,Regular,0.02972765639424324,Baking Goods,66.61419677734375,OUT017,2007,Medium,Tier 2,Supermarket Type1,1120.5413818359375
FDY11,6.710000038146973,Regular,0.029535852372646332,Baking Goods,67.51419830322266,OUT013,1987,High,Tier 3,Supermarket Type1,593.227783203125
FDY11,6.710000038146973,Regular,0.029554862529039383,Baking Goods,67.81420135498047,OUT035,2004,Small,Tier 2,Supermarket Type1,482.33526611328125
FDY36,12.300000190734863,Low Fat,0.009429612196981907,Baking Goods,71.33799743652344,OUT045,2002,Small,Tier 2,Supermarket Type1,1098.5699462890625
FDY36,12.300000190734863,Low Fat,0.015751294791698456,Baking Goods,71.63800048828125,OUT010,1998,Medium,Tier 3,Grocery Store,934.0162353515625
FDK48,7.445000171661377,Low Fat,0.037625107914209366,Baking Goods,73.23539733886719,OUT035,2004,Small,Tier 2,Supermarket Type1,588.8565673828125
FDK48,7.445000171661377,Low Fat,0.037785522639751434,Baking Goods,73.33540344238281,OUT018,2009,Medium,Tier 3,Supermarket Type2,578.740966796875
FDK48,7.445000171661377,Low Fat,0.03769073262810707,Baking Goods,73.33540344238281,OUT049,1999,Medium,Tier1,Supermarket Type1,451.41241455078125
FDY36,12.300000190734863,Low Fat,0.009410527534782887,Baking Goods,73.73799896240234,OUT046,1997,Small,Tier1,Supermarket Type1,1318.2840576171875
FDY36,12.300000190734863,Low Fat,0.009463757276535034,Baking Goods,73.83799743652344,OUT017,2007,Medium,Tier 2,Supermarket Type1,1245.0460205078125
FDY36,12.300000190734863,Low Fat,0.009402696043252945,Baking Goods,74.13800048828125,OUT013,1987,High,Tier 3,Supermarket Type1,984.8491821289062
FDY36,12.300000190734863,Low Fat,0.009364956989884377,Baking Goods,74.23799896240234,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.8079833984375
FDY36,12.300000190734863,Low Fat,0.016476618126034737,Baking Goods,74.33799743652344,OUT019,1985,Small,Tier1,Grocery Store,146.4759979248047
FDY36,12.300000190734863,Low Fat,0.009448861703276634,Baking Goods,74.53800201416016,OUT018,2009,Medium,Tier 3,Supermarket Type2,999.3309936523438
